sirna_id,gene_symbol,ncbi_gene_id,source
s18730,SEC14L5,,thermofisher
s18742,SEMA3E,,thermofisher
s18757,SECISBP2L,,thermofisher
s18760,KIAA0408,,thermofisher
s18763,DCAF1,,thermofisher
s18766,CEP104,,thermofisher
s18769,DOCK4,,thermofisher
s18778,KNTC1,,thermofisher
s18784,GPRASP1,,thermofisher
s18787,CCP110,,thermofisher
s18817,PHACTR2,,thermofisher
s18820,RIPOR2,,thermofisher
s18823,SNPH,,thermofisher
s18830,TBKBP1,,thermofisher
s18836,FRMPD4,,thermofisher
s18848,LZTS3,,thermofisher
s18851,KIAA0513,,thermofisher
s18863,PCLAF,,thermofisher
s18872,TMEM94,,thermofisher
s18881,ATG13,,thermofisher
s18887,KIAA0232,,thermofisher
s18893,PIEZO1,,thermofisher
s18902,RIMS3,,thermofisher
s18905,SNX17,,thermofisher
s18911,KIAA0586,,thermofisher
s18914,DLGAP5,,thermofisher
s18920,SPCS2,,thermofisher
s18923,BMS1,,thermofisher
s18938,TATDN2,,thermofisher
s18941,IST1,,thermofisher
s18944,MRPL19,,thermofisher
s18950,TOMM20,,thermofisher
s18962,RNF40,,thermofisher
s18965,CTIF,,thermofisher
s18971,EFCAB14,,thermofisher
s18974,SFI1,,thermofisher
s18980,URB2,,thermofisher
s18986,NUP58,,thermofisher
s18992,CUL7,,thermofisher
s18998,ARMCX2,,thermofisher
s19001,ARHGAP11A,,thermofisher
s19004,SPATA2,,thermofisher
s19010,RGP1,,thermofisher
s19025,JAKMIP2,,thermofisher
s19037,TESPA1,,thermofisher
s19055,C2CD5,,thermofisher
s19067,EPM2AIP1,,thermofisher
s19073,C2CD2L,,thermofisher
s19079,KIAA0319,,thermofisher
s19088,CEP170,,thermofisher
s19103,TRIL,,thermofisher
s19115,AREL1,,thermofisher
s19121,FCHSD2,,thermofisher
s19139,TRANK1,,thermofisher
s19148,LRRC37A2,,thermofisher
s19154,SMG7,,thermofisher
s19160,PLPPR4,,thermofisher
s19163,SNAP91,,thermofisher
s19169,TECPR2,,thermofisher
s19172,FIG4,,thermofisher
s19175,WASHC5,,thermofisher
s19178,UBAP2L,,thermofisher
s19193,KLHL21,,thermofisher
s19199,SGSM2,,thermofisher
s19202,SLC35E2A,,thermofisher
s19205,AP5Z1,,thermofisher
s19211,DENND4B,,thermofisher
s19214,RABGAP1L,,thermofisher
s19217,TMCC2,,thermofisher
s19223,SUPT7L,,thermofisher
s19247,IQSEC1,,thermofisher
s19268,JOSD1,,thermofisher
s19289,ARHGAP25,,thermofisher
s19295,DLEC1,,thermofisher
s19313,MAGEC1,,thermofisher
s19319,AMMECR1,,thermofisher
s19322,GOLGA5,,thermofisher
s19346,MVP,,thermofisher
s19355,FGF19,,thermofisher
s19358,TNFSF15,,thermofisher
s19391,DOP1B,,thermofisher
s19394,FGFBP1,,thermofisher
s19400,REC8,,thermofisher
s19446,ABI1,,thermofisher
s19455,TANK,,thermofisher
s194768,RPS19,,thermofisher
s19477,SH2B3,,thermofisher
s19486,INSL5,,thermofisher
s19489,FRAT1,,thermofisher
s19492,,,UNRESOLVED
s195006,GPRIN2,,thermofisher
s19501,CHAF1A,,thermofisher
s195021,SERF2,,thermofisher
s195027,STUB1,,thermofisher
s195030,PEMT,,thermofisher
s195036,TIMM23,,thermofisher
s195042,DEAF1,,thermofisher
s195047,MRPL28,,thermofisher
s195079,ACOT2,,thermofisher
s19513,HMGXB4,,thermofisher
s19519,SH2D3C,,thermofisher
s195210,ZNF580,,thermofisher
s195228,SIRT6,,thermofisher
s195230,LSM7,,thermofisher
s195242,SOX18,,thermofisher
s195244,,,UNRESOLVED
s195247,GPN2,,thermofisher
s195386,RPP21,,thermofisher
s195427,SHARPIN,,thermofisher
s195432,PCDH11Y,,thermofisher
s195435,ABHD11,,thermofisher
s195482,COX4I2,,thermofisher
s195493,RAX2,,thermofisher
s19576,SCAMP2,,thermofisher
s19579,SCAMP3,,thermofisher
s19582,IL18BP,,thermofisher
s19585,RWDD2B,,thermofisher
s19588,MUC12,,thermofisher
s19603,TSPAN32,,thermofisher
s19606,TSSC4,,thermofisher
s19615,GPC6,,thermofisher
s19648,TSPAN5,,thermofisher
s19651,TSPAN3,,thermofisher
s19660,TSPAN1,,thermofisher
s19684,FEM1B,,thermofisher
s19687,ENAM,,thermofisher
s19714,FRY,,thermofisher
s19720,OPTN,,thermofisher
s19732,RBM12,,thermofisher
s19741,TOB1,,thermofisher
s19747,AKAP9,,thermofisher
s19750,CLEC3A,,thermofisher
s19753,FAM13A,,thermofisher
s19754,G3BP1,,thermofisher
s19757,SUGP2,,thermofisher
s19761,EBI3,,thermofisher
s19780,TRIM28,,thermofisher
s19782,RASA4B,,thermofisher
s19789,PDZK1IP1,,thermofisher
s19792,ATP6AP2,,thermofisher
s19801,LPCAT3,,thermofisher
s19804,WASF2,,thermofisher
s19805,CHST4,,thermofisher
s19810,SLC25A13,,thermofisher
s19819,DHRS9,,thermofisher
s19821,RCL1,,thermofisher
s19827,SORBS3,,thermofisher
s19834,TENM1,,thermofisher
s19836,RBM7,,thermofisher
s19839,RBM6,,thermofisher
s19842,RBM5,,thermofisher
s19846,LHFPL2,,thermofisher
s19849,LHFPL6,,thermofisher
s19854,ALYREF,,thermofisher
s19857,TXNDC9,,thermofisher
s19861,RNF41,,thermofisher
s19866,ALG3,,thermofisher
s19869,PRMT3,,thermofisher
s19873,PSME3,,thermofisher
s19876,MPHOSPH9,,thermofisher
s19886,DHRS2,,thermofisher
s19894,NUTF2,,thermofisher
s19897,MPZL2,,thermofisher
s19899,TRIM13,,thermofisher
s19901,PATJ,,thermofisher
s19904,USPL1,,thermofisher
s19909,EIF1,,thermofisher
s19911,TOPORS,,thermofisher
s19917,DDX39A,,thermofisher
s19923,OLIG2,,thermofisher
s19927,PRG4,,thermofisher
s19935,KLRG1,,thermofisher
s19939,GDF11,,thermofisher
s19945,GPA33,,thermofisher
s19957,MFSD10,,thermofisher
s19961,COQ7,,thermofisher
s19972,LRRC23,,thermofisher
s19975,LRRC17,,thermofisher
s19977,RASGRP2,,thermofisher
s19979,HNRNPR,,thermofisher
s1998,BLM,,thermofisher
s19984,SLC35B1,,thermofisher
s19996,CALCOCO2,,thermofisher
s20002,GPHN,,thermofisher
s20008,TIMM17B,,thermofisher
s20014,RIDA,,thermofisher
s20016,POP7,,thermofisher
s20019,SRRM1,,thermofisher
s20021,SPRY3,,thermofisher
s20029,SPRY2,,thermofisher
s20031,STAM2,,thermofisher
s20040,ABCC4,,thermofisher
s20044,DENND4A,,thermofisher
s200474,,,UNRESOLVED
s200475,,,UNRESOLVED
s20048,SF3B4,,thermofisher
s200483,,,UNRESOLVED
s200515,,,UNRESOLVED
s200518,HSD17B7,,thermofisher
s20053,CDK2AP2,,thermofisher
s200549,,,UNRESOLVED
s20056,IRX5,,thermofisher
s20061,RAMP1,,thermofisher
s20073,FSTL3,,thermofisher
s20076,STAG1,,thermofisher
s20080,EFS,,thermofisher
s20091,DSCR4,,thermofisher
s20097,CWC27,,thermofisher
s20099,SAP18,,thermofisher
s20102,SMNDC1,,thermofisher
s20104,BCAS2,,thermofisher
s20109,RGS19,,thermofisher
s20110,LILRB2,,thermofisher
s20120,TRAIP,,thermofisher
s20130,EFTUD2,,thermofisher
s20132,APC2,,thermofisher
s20138,MARCHF6,,thermofisher
s20142,KATNB1,,thermofisher
s20145,SNAPC5,,thermofisher
s20159,TCIRG1,,thermofisher
s20171,B3GALT5,,thermofisher
s20175,TNIP1,,thermofisher
s20184,CRISP3,,thermofisher
s20192,RRAGB,,thermofisher
s20197,AKR1A1,,thermofisher
s20208,CNPY2,,thermofisher
s20211,B3GNT3,,thermofisher
s20214,CLEC4M,,thermofisher
s20220,IRAG1,,thermofisher
s20226,TFG,,thermofisher
s20231,CCL26,,thermofisher
s20238,TRIM22,,thermofisher
s20240,ABCA7,,thermofisher
s20246,ABCA9,,thermofisher
s20256,CTCFL,,thermofisher
s20264,HMG20B,,thermofisher
s20268,HMG20A,,thermofisher
s20286,SEMA3A,,thermofisher
s20288,TUBA1B,,thermofisher
s20290,IRF9,,thermofisher
s20297,TUBB3,,thermofisher
s20305,BTN3A3,,thermofisher
s20312,SYCP2,,thermofisher
s20317,CEPT1,,thermofisher
s20323,NOD1,,thermofisher
s20327,ANAPC10,,thermofisher
s20330,PRG3,,thermofisher
s20336,NDRG1,,thermofisher
s20338,MYL9,,thermofisher
s20345,PIAS3,,thermofisher
s20348,ST3GAL6,,thermofisher
s20359,BASP1,,thermofisher
s20361,RAPGEF3,,thermofisher
s20365,NSA2,,thermofisher
s20367,YAP1,,thermofisher
s20383,CD2BP2,,thermofisher
s20388,CDIPT,,thermofisher
s20391,ARIH2,,thermofisher
s20394,TUBGCP3,,thermofisher
s20401,CFDP1,,thermofisher
s20403,TMEM147,,thermofisher
s20407,RBM14,,thermofisher
s20410,LYPLA1,,thermofisher
s20422,C1D,,thermofisher
s20426,TIMM17A,,thermofisher
s20429,,,UNRESOLVED
s20432,ZER1,,thermofisher
s20435,MCRS1,,thermofisher
s20437,LRRN2,,thermofisher
s20441,FAM3C,,thermofisher
s20444,ACAA2,,thermofisher
s20446,PPIE,,thermofisher
s20450,TOMM40,,thermofisher
s20452,TAB1,,thermofisher
s20454,ECI2,,thermofisher
s20462,GPNMB,,thermofisher
s20464,BAIAP2,,thermofisher
s20468,MAD2L2,,thermofisher
s20471,TACC3,,thermofisher
s20477,CLEC10A,,thermofisher
s20479,SLC30A9,,thermofisher
s20483,PIBF1,,thermofisher
s20487,COG5,,thermofisher
s20496,TIMM44,,thermofisher
s20512,TRIM38,,thermofisher
s20519,UBE2E4P,,thermofisher
s20523,SLC9A6,,thermofisher
s20533,NXF1,,thermofisher
s20539,SEC23A,,thermofisher
s20546,CAP2,,thermofisher
s20549,CAP1,,thermofisher
s20551,CREB3,,thermofisher
s20555,LRRC41,,thermofisher
s20566,VAT1,,thermofisher
s20573,ENOX2,,thermofisher
s20575,UNC13B,,thermofisher
s20578,CARM1,,thermofisher
s20584,SEMA6C,,thermofisher
s20591,SEMA4F,,thermofisher
s20592,SEMA4D,,thermofisher
s20596,SEMA4B,,thermofisher
s20601,APPBP2,,thermofisher
s20607,FBLN5,,thermofisher
s20612,FBXW10,,thermofisher
s20623,DDX17,,thermofisher
s20627,CHERP,,thermofisher
s20630,KAT5,,thermofisher
s20635,IPO8,,thermofisher
s20638,IPO7,,thermofisher
s20642,NOP56,,thermofisher
s20645,NEBL,,thermofisher
s20651,ATG7,,thermofisher
s20664,UBD,,thermofisher
s20670,GLRX3,,thermofisher
s20679,LAMTOR5,,thermofisher
s20681,PROCR,,thermofisher
s20683,TM9SF1,,thermofisher
s20688,PRDX4,,thermofisher
s20694,AGR2,,thermofisher
s20695,ARPC1A,,thermofisher
s20705,RPP30,,thermofisher
s20707,RPP38,,thermofisher
s20712,SPTLC1,,thermofisher
s20717,SLC19A2,,thermofisher
s20724,OLFM4,,thermofisher
s20734,AKAP3,,thermofisher
s20737,SLC34A2,,thermofisher
s20744,DPYSL4,,thermofisher
s20747,SIVA1,,thermofisher
s20777,POMT1,,thermofisher
s20782,TXNRD2,,thermofisher
s20785,MTHFS,,thermofisher
s20794,SMC2,,thermofisher
s20803,AHSA1,,thermofisher
s20818,PAIP1,,thermofisher
s20821,PAICS,,thermofisher
s20827,MXD4,,thermofisher
s20830,ST6GALNAC2,,thermofisher
s20834,PDLIM5,,thermofisher
s20837,TRIM3,,thermofisher
s20853,STAMBP,,thermofisher
s20857,ARID3B,,thermofisher
s20860,POLR3F,,thermofisher
s20867,POLR3C,,thermofisher
s20873,TRIM16,,thermofisher
s20876,MYL12A,,thermofisher
s20888,POSTN,,thermofisher
s20892,ATP5MG,,thermofisher
s20894,RASL10A,,thermofisher
s20902,RGS14,,thermofisher
s20915,NPRL2,,thermofisher
s20917,IGF2BP1,,thermofisher
s20919,IGF2BP3,,thermofisher
s20923,IGF2BP2,,thermofisher
s20946,DMRT2,,thermofisher
s20949,KHDRBS3,,thermofisher
s20954,CELF1,,thermofisher
s20985,RRAGA,,thermofisher
s20991,GNA13,,thermofisher
s21002,B3GNT2,,thermofisher
s21006,GNB5,,thermofisher
s21017,FUT9,,thermofisher
s21020,GMEB1,,thermofisher
s21045,POLD3,,thermofisher
s21048,TBR1,,thermofisher
s21059,POLQ,,thermofisher
s21063,SLC12A7,,thermofisher
s21071,NUDC,,thermofisher
s21121,KLRA1P,,thermofisher
s21124,CHL1,,thermofisher
s21129,GIPC1,,thermofisher
s21141,NES,,thermofisher
s21151,HBS1L,,thermofisher
s21163,POP4,,thermofisher
s21191,SLC17A3,,thermofisher
s21197,IQGAP2,,thermofisher
s21212,MTHFD2,,thermofisher
s21225,SEC24A,,thermofisher
s21276,ALDH1L1,,thermofisher
s21279,FTCD,,thermofisher
s21290,PDE10A,,thermofisher
s21295,SRCAP,,thermofisher
s21303,CCL27,,thermofisher
s21308,RUVBL2,,thermofisher
s21311,PGRMC1,,thermofisher
s21313,CYP46A1,,thermofisher
s21318,LILRB1,,thermofisher
s21319,SLC26A1,,thermofisher
s21325,SLC22A7,,thermofisher
s21347,ME3,,thermofisher
s21353,FGL2,,thermofisher
s21366,ACTL7B,,thermofisher
s21398,MALT1,,thermofisher
s21412,CPSF4,,thermofisher
s21422,DHRS4L2,,thermofisher
s21424,BRD8,,thermofisher
s21433,MAN1A2,,thermofisher
s21439,TXNL4A,,thermofisher
s21449,UTS2,,thermofisher
s21454,EDAR,,thermofisher
s21456,PAPOLA,,thermofisher
s21467,BTNL3,,thermofisher
s21472,COPS8,,thermofisher
s21474,RNPS1,,thermofisher
s21480,SUB1,,thermofisher
s21485,SMPDL3A,,thermofisher
s21486,DBF4,,thermofisher
s21494,RALBP1,,thermofisher
s21496,SRSF8,,thermofisher
s21499,APOBEC2,,thermofisher
s21501,MORF4L1,,thermofisher
s21506,NA,,thermofisher
s21507,PRDX3,,thermofisher
s21515,EHD1,,thermofisher
s21523,UGT2A1,,thermofisher
s21529,MSL3,,thermofisher
s21535,SF3A3,,thermofisher
s21543,HNRNPA0,,thermofisher
s21550,CBX1,,thermofisher
s21556,TOMM34,,thermofisher
s21560,PDIA5,,thermofisher
s21571,TMED2,,thermofisher
s21588,RAB40B,,thermofisher
s21597,YWHAQ,,thermofisher
s21605,ASCC3,,thermofisher
s21609,CLP1,,thermofisher
s21620,RAB32,,thermofisher
s21625,GCN1,,thermofisher
s21637,LILRB5,,thermofisher
s21646,SDS,,thermofisher
s21651,SLC27A5,,thermofisher
s21655,SLC27A4,,thermofisher
s21658,SLC27A3,,thermofisher
s21662,SLC27A2,,thermofisher
s21663,KIF2C,,thermofisher
s21670,LILRB4,,thermofisher
s21673,IL24,,thermofisher
s21687,KDELR2,,thermofisher
s21692,KDELR3,,thermofisher
s21694,ATF7,,thermofisher
s21704,IFT27,,thermofisher
s21707,RAB35,,thermofisher
s21714,,,UNRESOLVED
s21717,LILRA1,,thermofisher
s21721,,,UNRESOLVED
s21733,RAB31,,thermofisher
s21735,ADAP1,,thermofisher
s21746,GUSBP17,,thermofisher
s21757,MID2,,thermofisher
s223090,ACSM3,,thermofisher
s223097,SLC17A2,,thermofisher
s223098,GLYAT,,thermofisher
s223100,RAMP2,,thermofisher
s223106,CCNO,,thermofisher
s223115,IFI30,,thermofisher
s223122,SLC25A17,,thermofisher
s223129,ARL6IP5,,thermofisher
s223130,AGPAT2,,thermofisher
s223144,KHDRBS1,,thermofisher
s223171,TMED10,,thermofisher
s223181,TDRKH,,thermofisher
s223847,ST6GALNAC6,,thermofisher
s224158,RRM2B,,thermofisher
s224169,NEUROG3,,thermofisher
s224173,IRX4,,thermofisher
s224176,COQ6,,thermofisher
s224177,AMDHD2,,thermofisher
s224179,ZNF593,,thermofisher
s224181,TMX2,,thermofisher
s224186,MECR,,thermofisher
s224188,UTP11,,thermofisher
s224189,TRIM17,,thermofisher
s224190,SAR1B,,thermofisher
s224191,ANGPTL4,,thermofisher
s224219,RAB6B,,thermofisher
s224223,TAF9B,,thermofisher
s224224,UBE2D4,,thermofisher
s224230,LSM8,,thermofisher
s224234,CYB5R1,,thermofisher
s224238,WWOX,,thermofisher
s224240,GNG13,,thermofisher
s224288,CDHR5,,thermofisher
s224289,RAB24,,thermofisher
s224293,POLE3,,thermofisher
s224300,NDUFB11,,thermofisher
s224303,ING3,,thermofisher
s224305,UGT1A7,,thermofisher
s224307,,,UNRESOLVED
s224310,INO80,,thermofisher
s224902,APH1B,,thermofisher
s224907,SOX7,,thermofisher
s224912,SLC25A18,,thermofisher
s224918,MIXL1,,thermofisher
s224921,RASSF4,,thermofisher
s224928,MAGT1,,thermofisher
s224930,ZRANB3,,thermofisher
s224933,LRRIQ1,,thermofisher
s224935,RPF2,,thermofisher
s224940,HAGHL,,thermofisher
s224941,SARNP,,thermofisher
s224944,GFM2,,thermofisher
s224948,MEGF10,,thermofisher
s224958,PPP1R9B,,thermofisher
s224960,LOXL3,,thermofisher
s224963,TUBA1C,,thermofisher
s224965,HAVCR2,,thermofisher
s224967,AGBL4,,thermofisher
s225417,SH2D3A,,thermofisher
s225418,PDCD7,,thermofisher
s225421,TSFM,,thermofisher
s225422,LINC01587,,thermofisher
s225423,CNIH1,,thermofisher
s225425,RABEPK,,thermofisher
s225426,HCG9,,thermofisher
s225427,,,UNRESOLVED
s225428,EMC8,,thermofisher
s225431,UBAC1,,thermofisher
s225432,CDC42EP2,,thermofisher
s225436,PFDN6,,thermofisher
s225437,ATP5PD,,thermofisher
s225438,MIR91HG,,thermofisher
s225439,ZNRD2,,thermofisher
s225440,IFI44,,thermofisher
s225441,RABAC1,,thermofisher
s228475,IL32,,thermofisher
s228479,PIWIL1,,thermofisher
s228480,BCL7B,,thermofisher
s228494,RPL23,,thermofisher
s228500,CIAO1,,thermofisher
s228501,STOML1,,thermofisher
s228506,ITM2A,,thermofisher
s228507,XAGE1B,,thermofisher
s228510,GDF15,,thermofisher
s228512,TMEM59,,thermofisher
s228513,AMACR,,thermofisher
s228514,ATP5MJ,,thermofisher
s228517,ISG15,,thermofisher
s228518,FEZ1,,thermofisher
s228524,RALGPS1,,thermofisher
s228527,SDC3,,thermofisher
s228528,LRRC14,,thermofisher
s228529,,,UNRESOLVED
s228533,TCAF1,,thermofisher
s228535,MLEC,,thermofisher
s228536,DAZAP2,,thermofisher
s228540,KIAA0753,,thermofisher
s228544,NCAPD2,,thermofisher
s228546,KBTBD11,,thermofisher
s24587,NIPBL,,thermofisher
s256,KIF1C,,thermofisher
s26889,TBX21,,thermofisher
s26897,SH3KBP1,,thermofisher
s26900,TLX3,,thermofisher
s26902,SLC40A1,,thermofisher
s26905,RAX,,thermofisher
s26913,SOX8,,thermofisher
s26915,PLA2G2E,,thermofisher
s26943,POLR1H,,thermofisher
s26950,HLAG,,thermofisher
s26953,EHD4,,thermofisher
s26956,EHD3,,thermofisher
s26997,SMARCAL1,,thermofisher
s27012,DUOX2,,thermofisher
s27017,NOX3,,thermofisher
s27031,CHST11,,thermofisher
s27042,GALNT9,,thermofisher
s27043,IL21R,,thermofisher
s27049,ATP6V0A4,,thermofisher
s27053,ITSN2,,thermofisher
s27069,CALY,,thermofisher
s27086,RDH8,,thermofisher
s27101,ASAP1,,thermofisher
s27116,NSDHL,,thermofisher
s27150,F11R,,thermofisher
s27156,VILL,,thermofisher
s27167,SPOCK3,,thermofisher
s27181,CDON,,thermofisher
s27189,PDE11A,,thermofisher
s27192,FOXP3,,thermofisher
s27198,TBX22,,thermofisher
s27215,MED31,,thermofisher
s27222,SLC35H1,,thermofisher
s27224,ASCC1,,thermofisher
s27228,DERL2,,thermofisher
s27243,ISOC1,,thermofisher
s27261,GLRX2,,thermofisher
s27298,ZBTB7B,,thermofisher
s27323,TXNDC12,,thermofisher
s27327,TXNDC11,,thermofisher
s27330,ATL1,,thermofisher
s27341,YARS2,,thermofisher
s27350,DERA,,thermofisher
s27359,APIP,,thermofisher
s27383,CRYL1,,thermofisher
s27388,MLXIPL,,thermofisher
s27394,YBX2,,thermofisher
s27411,ADIPOR1,,thermofisher
s27414,TRNT1,,thermofisher
s27448,,,UNRESOLVED
s27451,APH1A,,thermofisher
s27455,RDH11,,thermofisher
s27467,ZDHHC9,,thermofisher
s27502,NAA20,,thermofisher
s27544,DYNC1LI1,,thermofisher
s27550,A4GNT,,thermofisher
s27572,SERPINA10,,thermofisher
s27586,DBR1,,thermofisher
s27603,HSD17B11,,thermofisher
s27606,HSD17B14,,thermofisher
s27612,TUBD1,,thermofisher
s27615,TUBE1,,thermofisher
s27624,HAO2,,thermofisher
s27627,DCXR,,thermofisher
s27646,HERC5,,thermofisher
s27652,IPO11,,thermofisher
s27657,RAPGEFL1,,thermofisher
s27660,PLCE1,,thermofisher
s27662,NIN,,thermofisher
s27669,ZDHHC2,,thermofisher
s27672,DDX47,,thermofisher
s27693,RAB9B,,thermofisher
s27703,ZNF219,,thermofisher
s27706,ELOA2,,thermofisher
s27711,ABI3,,thermofisher
s27713,COPZ2,,thermofisher
s27738,MZB1,,thermofisher
s27766,NT5C3A,,thermofisher
s27807,PIPOX,,thermofisher
s27810,TFDP3,,thermofisher
s27825,DNAJC27,,thermofisher
s27844,TLR7,,thermofisher
s27847,RASL12,,thermofisher
s27862,GMIP,,thermofisher
s27873,ECSIT,,thermofisher
s27876,SLC15A3,,thermofisher
s27880,BPIFA1,,thermofisher
s27892,GCNT4,,thermofisher
s27895,CYP39A1,,thermofisher
s27898,FKBP11,,thermofisher
s27901,,,UNRESOLVED
s27919,SLC22A17,,thermofisher
s27922,TLR8,,thermofisher
s27924,SLC25A37,,thermofisher
s27949,MEX3C,,thermofisher
s27980,MS4A4E,,thermofisher
s27999,KLRF1,,thermofisher
s28016,CHST15,,thermofisher
s28022,PLA1A,,thermofisher
s28026,UBR5,,thermofisher
s28041,MRPS17,,thermofisher
s28053,ANGPT4,,thermofisher
s28057,CSAD,,thermofisher
s28071,EIF3L,,thermofisher
s28095,PPME1,,thermofisher
s28098,HSFX2,,thermofisher
s28113,PRKAG2,,thermofisher
s28116,POLK,,thermofisher
s28120,DDX41,,thermofisher
s28132,ANAPC7,,thermofisher
s28135,SCARA3,,thermofisher
s28162,GULP1,,thermofisher
s28165,REV1,,thermofisher
s28170,RHCG,,thermofisher
s28178,UBE2J1,,thermofisher
s28184,NAT8B,,thermofisher
s28189,LIMA1,,thermofisher
s28195,ISYNA1,,thermofisher
s28220,TRIAP1,,thermofisher
s28254,LARS1,,thermofisher
s28274,ANAPC11,,thermofisher
s28283,PHF7,,thermofisher
s28294,SCLY,,thermofisher
s28299,VPS54,,thermofisher
s28303,SIRT7,,thermofisher
s28312,RAB14,,thermofisher
s28343,TDP2,,thermofisher
s28352,GDE1,,thermofisher
s28355,LARP7,,thermofisher
s28361,AZIN1,,thermofisher
s28370,PIAS4,,thermofisher
s28372,TRIM33,,thermofisher
s28385,LSR,,thermofisher
s28390,NOP58,,thermofisher
s28400,TRMT6,,thermofisher
s28401,ATP6V1H,,thermofisher
s28407,DPH5,,thermofisher
s28429,SLC25A39,,thermofisher
s28441,DHRS7,,thermofisher
s28457,PPIL1,,thermofisher
s28471,PTRH2,,thermofisher
s28480,RASD1,,thermofisher
s28496,ZFR,,thermofisher
s28522,SUFU,,thermofisher
s28524,OAZ3,,thermofisher
s28531,CPSF3,,thermofisher
s28540,CYB5R2,,thermofisher
s28548,PADI3,,thermofisher
s28593,UPB1,,thermofisher
s28599,RAPGEF6,,thermofisher
s28605,CD244,,thermofisher
s28610,RTEL1,,thermofisher
s28630,ATP8A2,,thermofisher
s28650,RSF1,,thermofisher
s28666,COQ3,,thermofisher
s28672,TUBA8,,thermofisher
s28675,PHAX,,thermofisher
s28679,ADA2,,thermofisher
s28682,BCL11A,,thermofisher
s28690,BTBD1,,thermofisher
s28710,UBASH3A,,thermofisher
s28715,LRP1B,,thermofisher
s28735,STX18,,thermofisher
s28737,MBD3,,thermofisher
s28744,BCO1,,thermofisher
s28745,PRKAG3,,thermofisher
s28764,FXYD5,,thermofisher
s28775,IL20RA,,thermofisher
s28779,IL20RB,,thermofisher
s28794,MYO3A,,thermofisher
s28799,DUOX1,,thermofisher
s28801,RAB4B,,thermofisher
s28808,PELO,,thermofisher
s28809,SLCO1C1,,thermofisher
s28813,PPIL3,,thermofisher
s28820,CNTN5,,thermofisher
s28824,A4GALT,,thermofisher
s28827,CPSF2,,thermofisher
s28834,SLC37A1,,thermofisher
s28837,RBM11,,thermofisher
s28874,TLR9,,thermofisher
s28880,CHRAC1,,thermofisher
s28884,MRPL39,,thermofisher
s28893,NANS,,thermofisher
s28896,CYCS,,thermofisher
s28905,TREM2,,thermofisher
s28908,TREM1,,thermofisher
s28916,SNTG2,,thermofisher
s28939,HAO1,,thermofisher
s28953,DNAJC10,,thermofisher
s28969,SEMA5B,,thermofisher
s28970,GFOD1,,thermofisher
s28996,MOV10L1,,thermofisher
s29024,ANKIB1,,thermofisher
s29047,RNF216,,thermofisher
s29057,CHPF2,,thermofisher
s29073,TMX3,,thermofisher
s29078,PRMT7,,thermofisher
s29084,SMOX,,thermofisher
s29093,ZDHHC13,,thermofisher
s29098,DHX29,,thermofisher
s29104,RHOF,,thermofisher
s29108,PCDH18,,thermofisher
s29111,HMGCLL1,,thermofisher
